,Cost,328.64,,,,,Savings,,,,181.92,,,,,,,,,,,,,,,
Mrs. Mina’s Part Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,Cost,,,,Current ,,,,Qualification,,,,,,,
,Part #,Description,DRIVER NAME ,TRUCK #,PICKER,INVOICE TIME ,Ordered,STOPS,TIRES,,MSRP Cost,Tot. QTY,Actual Cost,Discount,Current Cost,Current Discount ,Remaining to Order,Parts On Order,,Is_GM,Is_OEM,Certification,,,,
,YL8Z-5500-AB,Upper Control Arm,BRYAN,408,,,YES,,,0,161.63,2,89.4,72.23,328.64,181.92,20,25,,y,y,GM,,,,
,AL8Z-3280-B,Inner Tie-Rod End,DAVE,401,,,YES,,,,74.12,2,52.83,21.29,,,,,,y,y,GM,,,,
,8L8Z-3A130-A,Outer Tie-Rod End,,,,,YES,,,,56.36,2,35.6,20.76,,,,,,y,y,GM,,,Running Cost: ToT,328.64
,7L8Z-5K483-B,Stabilizer Link,MARIO,412,,,YES,,,,67.19,2,42.82,24.37,,,,,,y,y,GM,,,Running Discount: ToT,181.92
,8L8Z-5484-B,Stabilizer Bushing,KEP,414,,,YES,,,,12.6,4,12.6,0,,,,,,n,y, ISO9002,5,,,
,5L8Z-5486-B,Stabilizer Bracket,JUAN,404,,,YES,,,,15.24,2,15.24,0,,,,,,n,y, ISO9002,,,Running Parts: ToT,25
,Not AVL,Stabilizer Bar,SEAN,407,,,NO,,,,,1,,,,,,,,,,,,,Running Remaining: ToT,20
,W506441,Bracket Bolt,RUFINO,402,,,YES,,,,13.5,2,8.4,5.1,,,,,,n,y, ISO9002,,,,
,W715135,Linkage Nuts,OMAR,416,,,YES,,,,0.65,6,0.65,0,,,,,,n,y, ISO9002,,,,
,N807853-5(s),Tie Retainer,FELIX,418,,,YES,,,,8.5,2,8.5,0,,,,,,n,y, ISO9002,,,,
,,Tie Boot,,,,,NO,,,,,2,,,,,,,,,,,,,,
,5M6Z-6031-AA,Mount Bracket,,,,,YES,,,,77.1,1,43.41,33.69,,,,,,y,y,GM,,,,
,W714723-5439,Mount Bolts,MADX,409,,,YES,,,,23.67,2,19.19,4.48,,,,,,y,y,GM,,,,
,,Wheel Bearing,,,,,NO,,,,,2,,,,,,,,,,,,,,
,,Knuckle,,,,,NO,,,,,2,,,,,,,,,,,,,,
,same as link,Sway Bar,,,,,YES,,,,same as link,,,,,,,,,,,,,,,
,,Throttle Body Gasket,,,,,NO,,,,,1,,,,,,,,,,,,,,
,,Hose Clamps,,,,,NO,,,,,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,,510.56,45,328.64,181.92,328.64,181.92,20,25,,,0,,,,,
